Serial no.,Cabinet type,Cabinet Code,Width ,Height,Depth,Sqft,"No of 
drawers","No of 
shelves",Accessories,"Cabinet 
Price
(in rs)","Shelf & drawer 
price
(in rs)","Accessories
Price
(in $) ","Modern Shutter 
Price
(in $) old prices","Modern Shutter 
Price
(in $) New prices","Classic Shutter 
Price
(in $) old prices","Classic Shutter 
Price
(in $) New prices","AVERAGE RATE 
PER SQ FEET
(in $)",Remark,,,,,,,,,,,,,,,,,,,,
29,Base Cabinet,Blind Unit LH/RH (Low depth),1050,820,336,9.2676909564127907,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
30,Base Cabinet, lehman's Blind Unit LH/RH,1050,820,560,9.2676909564127907,0,0,Lehman's Corner,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Lehman's corner,,,,,,,,,,,,,,,,,,,,
31,Base Cabinet,Blind Unit LH/RH,1150,820,560,10.150328190356866,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
32,Base Cabinet,Blind Unit (Low depth),1150,820,336,10.150328190356866,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
33,Base Cabinet,Sink 2 Shutter Unit,1200,820,560,10.591646807328903,0,0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
34,Base Cabinet,3 Sides Glass Unit- 2 Shutters,940,820,336,8.2967899990743081,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
35,Base Cabinet,3 Sides Glass Unit- 2 Shutters,1170,820,336,10.32685563714568,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
36,Wall Cabinet,Open Unit,300,1085,336,3.5036392640097134,0,3,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
37,Wall Cabinet,Shutter Unit LH/RH,450,1085,336,5.2554588960145701,0,3,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
38,Wall Cabinet,Shutter Unit LH/RH,550,1085,336,6.4233386506844745,0,3,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
39,Wall Cabinet,Shutter Unit LH/RH,600,1085,336,7.0072785280194267,0,3,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
40,Wall Cabinet,Shutter Unit LH/RH,600,1085,336,7.0072785280194267,0,1,"600mm (24"") Dishrack",#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Dish rack 600mm,,,,,,,,,,,,,,,,,,,,
41,Wall Cabinet,2 Shutter Unit,850,1085,336,9.9269779146941879,0,3,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
42,Wall Cabinet,2 Shutter Unit,900,1085,336,10.51091779202914,0,3,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
