,,Corrections by Rashmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern,Modern,Modern,Classic,Classic,Classic,Classic,Classic,Classic,Classic,Classic,Modern
SN,Cabinet Code,Cabinet Code,Zone Name,Zone Key,Family Key,Family Name,Variant Label,Inbuilt Drawers,Handed,P1,P2,P3,Material Type,Handle,Width,Height,Depth,Thickness,Construction,Mount,Tall?,Blind?,Low-depth?,Shutter Sqft,Finish,Carcass Net Sqft,# Panels,# Shutters,Side Spec,Design MD1,Design MD2,Design MD3,Design MD1CM1,Design MD1CM2,Design MD2CM1,Design MD2CM2,Design MD3CM1,Design MD3CM2,Design CL1,Design CL2,Design NEON20
,BC-AC-STD-ST-BPO-RHS-XXX-300-720-560-15,BC-AC-TTS-ST-BPO-RHS-XXX-300-720-560-15,BC,Base,BPO,Base Bottle Pullout,Bottle Pullout (handed),—,RHS,BC,AC,TTS,ST,STD,300,720,560,15,fulltb,legs,No,No,No,2.32,ANY,13.899,4,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-AC-CJ-ST-WBP-1HF-XXX-300-720-560-15,BC-AC-CJ-ST-WBP-1HF-XXX-300-720-560-15,BC,Base,WBP,Base Waste Bin Pullout,Waste Bin Pullout,—,—,BC,AC,CJ,ST,XCJ,300,720,560,15,fulltb,legs,No,No,No,2.32,ANY,13.825,4,1,1HB,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-AC-CJ-ST-WBP-1HF-XXX-600-720-560-15,BC-AC-CJ-ST-WBP-1HF-XXX-600-720-560-15,BC,Base,WBP,Base Waste Bin Pullout,Waste Bin Pullout,—,—,BC,AC,CJ,ST,XCJ,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,19.583,4,1,1HB,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-AC-STD-ST-WBP-1HF-XXX-300-720-560-15,BC-AC-TTS-ST-WBP-1HF-XXX-300-720-560-15,BC,Base,WBP,Base Waste Bin Pullout,Waste Bin Pullout,—,—,BC,AC,TTS,ST,STD,300,720,560,15,fulltb,legs,No,No,No,2.32,ANY,13.899,4,1,1HB,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-AC-STD-ST-WBP-1HF-XXX-600-720-560-15,BC-AC-TTS-ST-WBP-1HF-XXX-600-720-560-15,BC,Base,WBP,Base Waste Bin Pullout,Waste Bin Pullout,—,—,BC,AC,TTS,ST,STD,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,19.731,4,1,1HB,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BCL-SH-CJ-ST-1SX-LHS-XXX-450-720-336-15,BCL-SH-CJ-ST-1SX-LHS-XXX-450-720-336-15,BCL,Base — Low Depth,SH,Base Shutter,Single door (handed),—,LHS,BCL,SH,CJ,ST,XCJ,450,720,336,15,fulltb,legs,No,No,Yes,3.49,ANY,12.529,5,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BCL-SH-CJ-ST-1SX-RHS-XXX-450-720-336-15,BCL-SH-CJ-ST-1SX-RHS-XXX-450-720-336-15,BCL,Base — Low Depth,SH,Base Shutter,Single door (handed),—,RHS,BCL,SH,CJ,ST,XCJ,450,720,336,15,fulltb,legs,No,No,Yes,3.49,ANY,12.529,5,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BCL-SH-CJ-ST-1SX-LHS-XXX-600-720-336-15,BCL-SH-CJ-ST-1SX-LHS-XXX-600-720-336-15,BCL,Base — Low Depth,SH,Base Shutter,Single door (handed),—,LHS,BCL,SH,CJ,ST,XCJ,600,720,336,15,fulltb,legs,No,No,Yes,4.65,ANY,15.162,5,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BCL-SH-CJ-ST-1SX-RHS-XXX-600-720-336-15,BCL-SH-CJ-ST-1SX-RHS-XXX-600-720-336-15,BCL,Base — Low Depth,SH,Base Shutter,Single door (handed),—,RHS,BCL,SH,CJ,ST,XCJ,600,720,336,15,fulltb,legs,No,No,Yes,4.65,ANY,15.162,5,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BCL-SH-STD-ST-1SX-LHS-XXX-450-720-336-15,BCL-SH-TTS-ST-1SX-LHS-XXX-450-720-336-15,BCL,Base — Low Depth,SH,Base Shutter,Single door (handed),—,LHS,BCL,SH,TTS,ST,STD,450,720,336,15,fulltb,legs,No,No,Yes,3.49,ANY,12.64,5,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BCL-SH-STD-ST-1SX-RHS-XXX-450-720-336-15,BCL-SH-TTS-ST-1SX-RHS-XXX-450-720-336-15,BCL,Base — Low Depth,SH,Base Shutter,Single door (handed),—,RHS,BCL,SH,TTS,ST,STD,450,720,336,15,fulltb,legs,No,No,Yes,3.49,ANY,12.64,5,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BCL-SH-STD-ST-1SX-LHS-XXX-600-720-336-15,BCL-SH-TTS-ST-1SX-LHS-XXX-600-720-336-15,BCL,Base — Low Depth,SH,Base Shutter,Single door (handed),—,LHS,BCL,SH,TTS,ST,STD,600,720,336,15,fulltb,legs,No,No,Yes,4.65,ANY,15.311,5,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BCL-SH-STD-ST-1SX-RHS-XXX-600-720-336-15,BCL-SH-TTS-ST-1SX-RHS-XXX-600-720-336-15,BCL,Base — Low Depth,SH,Base Shutter,Single door (handed),—,RHS,BCL,SH,TTS,ST,STD,600,720,336,15,fulltb,legs,No,No,Yes,4.65,ANY,15.311,5,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BB-AC-CJ-ST-LMC-LHS-XXX-1050-720-560-15,BB-AC-CJ-ST-LMC-LHS-XXX-1050-720-560-15,BB,Base Blind,LMC,LeMans Corner,LeMans (handed),—,LHS,BB,AC,CJ,ST,XCJ,1050,720,560,15,fulltb,legs,No,Yes,No,8.14,ANY,28.219,4,2,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BB-AC-CJ-ST-LMC-RHS-XXX-1050-720-560-15,BB-AC-CJ-ST-LMC-RHS-XXX-1050-720-560-15,BB,Base Blind,LMC,LeMans Corner,LeMans (handed),—,RHS,BB,AC,CJ,ST,XCJ,1050,720,560,15,fulltb,legs,No,Yes,No,8.14,ANY,28.219,4,2,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BB-AC-STD-ST-LMC-LHS-XXX-1050-720-560-15,BB-AC-TTS-ST-LMC-LHS-XXX-1050-720-560-15,BB,Base Blind,LMC,LeMans Corner,LeMans (handed),—,LHS,BB,AC,STD,ST,STD,1050,720,560,15,fulltb,legs,No,Yes,No,8.14,ANY,28.479,4,2,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BB-AC-STD-ST-LMC-RHS-XXX-1050-720-560-15,BB-AC-TTS-ST-LMC-RHS-XXX-1050-720-560-15,BB,Base Blind,LMC,LeMans Corner,LeMans (handed),—,RHS,BB,AC,STD,ST,STD,1050,720,560,15,fulltb,legs,No,Yes,No,8.14,ANY,28.479,4,2,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BB-SH-CJ-ST-1SX-LHS-XXX-1150-720-560-15,BB-SH-CJ-ST-1SX-LHS-XXX-1150-720-560-15,BB,Base Blind,BSH,Blind + Shelf,Blind shelf (handed),—,LHS,BB,SH,CJ,ST,XCJ,1150,720,560,15,fulltb,legs,No,Yes,No,8.91,ANY,36.379,5,2,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BB-SH-CJ-ST-1SX-RHS-XXX-1150-720-560-15,BB-SH-CJ-ST-1SX-RHS-XXX-1150-720-560-15,BB,Base Blind,BSH,Blind + Shelf,Blind shelf (handed),—,RHS,BB,SH,CJ,ST,XCJ,1150,720,560,15,fulltb,legs,No,Yes,No,8.91,ANY,36.379,5,2,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BB-SH-STD-ST-1SX-LHS-XXX-1150-720-560-15,BB-SH-TTS-ST-1SX-LHS-XXX-1150-720-560-15,BB,Base Blind,BSH,Blind + Shelf,Blind shelf (handed),—,LHS,BB,SH,TTS,ST,STD,1150,720,560,15,fulltb,legs,No,Yes,No,8.91,ANY,36.664,5,2,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BB-SH-STD-ST-1SX-RHS-XXX-1150-720-560-15,BB-SH-TTS-ST-1SX-RHS-XXX-1150-720-560-15,BB,Base Blind,BSH,Blind + Shelf,Blind shelf (handed),—,RHS,BB,SH,TTS,ST,STD,1150,720,560,15,fulltb,legs,No,Yes,No,8.91,ANY,36.664,5,2,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BBL-SH-CJ-ST-1SX-LHS-XXX-1150-720-336-15,BBL-SH-CJ-ST-1SX-LHS-XXX-1150-720-336-15,BBL,Base Blind — Low Depth,BSH,Blind + Shelf,Blind shelf (handed),—,LHS,BBL,SH,CJ,ST,XCJ,1150,720,336,15,fulltb,legs,No,Yes,Yes,8.91,ANY,24.818,5,2,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BBL-SH-CJ-ST-1SX-RHS-XXX-1150-720-336-15,BBL-SH-CJ-ST-1SX-RHS-XXX-1150-720-336-15,BBL,Base Blind — Low Depth,BSH,Blind + Shelf,Blind shelf (handed),—,RHS,BBL,SH,CJ,ST,XCJ,1150,720,336,15,fulltb,legs,No,Yes,Yes,8.91,ANY,24.818,5,2,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BBL-SH-STD-ST-1SX-LHS-XXX-1150-720-336-15,BBL-SH-TTS-ST-1SX-LHS-XXX-1150-720-336-15,BBL,Base Blind — Low Depth,BSH,Blind + Shelf,Blind shelf (handed),—,LHS,BBL,SH,TTS,ST,STD,1150,720,336,15,fulltb,legs,No,Yes,Yes,8.91,ANY,25.102,5,2,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BBL-SH-STD-ST-1SX-RHS-XXX-1150-720-336-15,BBL-SH-TTS-ST-1SX-RHS-XXX-1150-720-336-15,BBL,Base Blind — Low Depth,BSH,Blind + Shelf,Blind shelf (handed),—,RHS,BBL,SH,TTS,ST,STD,1150,720,336,15,fulltb,legs,No,Yes,Yes,8.91,ANY,25.102,5,2,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,WC-SH-STD-GL-3SG-LHS-XXX-450-1085-336-15,WC-SH-NHX-GL-3SG-LHS-XXX-450-1085-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,LHS,WC,SH,STD,GL,NHX,450,1085,336,15,fullsides,wall,No,No,No,5.26,ANY,15.071,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-3SG-RHS-XXX-450-1085-336-15,WC-SH-NHX-GL-3SG-RHS-XXX-450-1085-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,RHS,WC,SH,STD,GL,NHX,450,1085,336,15,fullsides,wall,No,No,No,5.26,ANY,15.071,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-1SG-LHS-XXX-450-725-336-15,WC-SH-NHX-GL-1SG-LHS-XXX-450-725-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,LHS,WC,SH,STD,GL,NHX,450,725,336,15,fullsides,wall,No,No,No,3.51,ANY,10.971,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-1SG-RHS-XXX-450-725-336-15,WC-SH-NHX-GL-1SG-RHS-XXX-450-725-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,RHS,WC,SH,STD,GL,NHX,450,725,336,15,fullsides,wall,No,No,No,3.51,ANY,10.971,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-3SG-LHS-XXX-500-1085-336-15,WC-SH-NHX-GL-3SG-LHS-XXX-500-1085-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,LHS,WC,SH,STD,GL,NHX,500,1085,336,15,fullsides,wall,No,No,No,5.84,ANY,15.99,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-3SG-RHS-XXX-500-1085-336-15,WC-SH-NHX-GL-3SG-RHS-XXX-500-1085-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,RHS,WC,SH,STD,GL,NHX,500,1085,336,15,fullsides,wall,No,No,No,5.84,ANY,15.99,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-1SG-LHS-XXX-500-725-336-15,WC-SH-NHX-GL-1SG-LHS-XXX-500-725-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,LHS,WC,SH,STD,GL,NHX,500,725,336,15,fullsides,wall,No,No,No,3.90,ANY,11.697,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-1SG-RHS-XXX-500-725-336-15,WC-SH-NHX-GL-1SG-RHS-XXX-500-725-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,RHS,WC,SH,STD,GL,NHX,500,725,336,15,fullsides,wall,No,No,No,3.90,ANY,11.697,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-3SG-LHS-XXX-550-1085-336-15,WC-SH-NHX-GL-3SG-LHS-XXX-550-1085-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,LHS,WC,SH,STD,GL,NHX,550,1085,336,15,fullsides,wall,No,No,No,6.42,ANY,16.91,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-3SG-RHS-XXX-550-1085-336-15,WC-SH-NHX-GL-3SG-RHS-XXX-550-1085-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,RHS,WC,SH,STD,GL,NHX,550,1085,336,15,fullsides,wall,No,No,No,6.42,ANY,16.91,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-1SG-LHS-XXX-550-725-336-15,WC-SH-NHX-GL-1SG-LHS-XXX-550-725-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,LHS,WC,SH,STD,GL,NHX,550,725,336,15,fullsides,wall,No,No,No,4.29,ANY,12.422,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-1SG-RHS-XXX-550-725-336-15,WC-SH-NHX-GL-1SG-RHS-XXX-550-725-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,RHS,WC,SH,STD,GL,NHX,550,725,336,15,fullsides,wall,No,No,No,4.29,ANY,12.422,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-3SG-LHS-XXX-600-1085-336-15,WC-SH-NHX-GL-3SG-LHS-XXX-600-1085-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,LHS,WC,SH,STD,GL,NHX,600,1085,336,15,fullsides,wall,No,No,No,7.01,ANY,17.829,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-3SG-RHS-XXX-600-1085-336-15,WC-SH-NHX-GL-3SG-RHS-XXX-600-1085-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,RHS,WC,SH,STD,GL,NHX,600,1085,336,15,fullsides,wall,No,No,No,7.01,ANY,17.829,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-1SG-LHS-XXX-600-725-336-15,WC-SH-NHX-GL-1SG-LHS-XXX-600-725-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,LHS,WC,SH,STD,GL,NHX,600,725,336,15,fullsides,wall,No,No,No,4.68,ANY,13.148,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-1SG-RHS-XXX-600-725-336-15,WC-SH-NHX-GL-1SG-RHS-XXX-600-725-336-15,WC,Wall,WGL,Wall Glass Shutter,Single door (handed),—,RHS,WC,SH,STD,GL,NHX,600,725,336,15,fullsides,wall,No,No,No,4.68,ANY,13.148,3,1,,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-3SG-2HS-XXX-850-1085-336-15,WC-SH-NHX-GL-3SG-2HS-XXX-850-1085-336-15,WC,Wall,WGL,Wall Glass Shutter,Double door,—,—,WC,SH,STD,GL,NHX,850,1085,336,15,fullsides,wall,No,No,No,9.93,ANY,22.425,3,2,3S 4H,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-1SG-2HS-XXX-850-725-336-15,WC-SH-NHX-GL-1SG-2HS-XXX-850-725-336-15,WC,Wall,WGL,Wall Glass Shutter,Double door,—,—,WC,SH,STD,GL,NHX,850,725,336,15,fullsides,wall,No,No,No,6.63,ANY,16.775,3,2,3S 4H,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-3SG-2HS-XXX-900-1085-336-15,WC-SH-NHX-GL-3SG-2HS-XXX-900-1085-336-15,WC,Wall,WGL,Wall Glass Shutter,Double door,—,—,WC,SH,STD,GL,NHX,900,1085,336,15,fullsides,wall,No,No,No,10.51,ANY,23.344,3,2,3S 4H,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-GL-1SG-2HS-XXX-900-725-336-15,WC-SH-NHX-GL-1SG-2HS-XXX-900-725-336-15,WC,Wall,WGL,Wall Glass Shutter,Double door,—,—,WC,SH,STD,GL,NHX,900,725,336,15,fullsides,wall,No,No,No,7.02,ANY,17.501,3,2,3S 4H,No,No,No,No,No,No,No,No,No,Yes,No,Yes
,WC-SH-STD-ST-3SG-LHS-XXX-450-1085-336-15,WC-SH-NHX-ST-3SG-LHS-XXX-450-1085-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,LHS,WC,SH,STD,ST,NHX,450,1085,336,15,fullsides,wall,No,No,No,5.26,ANY,15.071,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-3SG-RHS-XXX-450-1085-336-15,WC-SH-NHX-ST-3SG-RHS-XXX-450-1085-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,RHS,WC,SH,STD,ST,NHX,450,1085,336,15,fullsides,wall,No,No,No,5.26,ANY,15.071,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-1SG-LHS-XXX-450-725-336-15,WC-SH-NHX-ST-1SG-LHS-XXX-450-725-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,LHS,WC,SH,STD,ST,NHX,450,725,336,15,fullsides,wall,No,No,No,3.51,ANY,10.971,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-1SG-RHS-XXX-450-725-336-15,WC-SH-NHX-ST-1SG-RHS-XXX-450-725-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,RHS,WC,SH,STD,ST,NHX,450,725,336,15,fullsides,wall,No,No,No,3.51,ANY,10.971,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-3SG-LHS-XXX-500-1085-336-15,WC-SH-NHX-ST-3SG-LHS-XXX-500-1085-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,LHS,WC,SH,STD,ST,NHX,500,1085,336,15,fullsides,wall,No,No,No,5.84,ANY,15.99,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-3SG-RHS-XXX-500-1085-336-15,WC-SH-NHX-ST-3SG-RHS-XXX-500-1085-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,RHS,WC,SH,STD,ST,NHX,500,1085,336,15,fullsides,wall,No,No,No,5.84,ANY,15.99,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-1SG-LHS-XXX-500-725-336-15,WC-SH-NHX-ST-1SG-LHS-XXX-500-725-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,LHS,WC,SH,STD,ST,NHX,500,725,336,15,fullsides,wall,No,No,No,3.90,ANY,11.697,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-1SG-RHS-XXX-500-725-336-15,WC-SH-NHX-ST-1SG-RHS-XXX-500-725-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,RHS,WC,SH,STD,ST,NHX,500,725,336,15,fullsides,wall,No,No,No,3.90,ANY,11.697,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-3SG-LHS-XXX-550-1085-336-15,WC-SH-NHX-ST-3SG-LHS-XXX-550-1085-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,LHS,WC,SH,STD,ST,NHX,550,1085,336,15,fullsides,wall,No,No,No,6.42,ANY,16.91,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-3SG-RHS-XXX-550-1085-336-15,WC-SH-NHX-ST-3SG-RHS-XXX-550-1085-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,RHS,WC,SH,STD,ST,NHX,550,1085,336,15,fullsides,wall,No,No,No,6.42,ANY,16.91,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-1SG-LHS-XXX-550-725-336-15,WC-SH-NHX-ST-1SG-LHS-XXX-550-725-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,LHS,WC,SH,STD,ST,NHX,550,725,336,15,fullsides,wall,No,No,No,4.29,ANY,12.422,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-1SG-RHS-XXX-550-725-336-15,WC-SH-NHX-ST-1SG-RHS-XXX-550-725-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,RHS,WC,SH,STD,ST,NHX,550,725,336,15,fullsides,wall,No,No,No,4.29,ANY,12.422,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-3SG-LHS-XXX-600-1085-336-15,WC-SH-NHX-ST-3SG-LHS-XXX-600-1085-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,LHS,WC,SH,STD,ST,NHX,600,1085,336,15,fullsides,wall,No,No,No,7.01,ANY,17.829,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-3SG-RHS-XXX-600-1085-336-15,WC-SH-NHX-ST-3SG-RHS-XXX-600-1085-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,RHS,WC,SH,STD,ST,NHX,600,1085,336,15,fullsides,wall,No,No,No,7.01,ANY,17.829,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-1SG-LHS-XXX-600-725-336-15,WC-SH-NHX-ST-1SG-LHS-XXX-600-725-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,LHS,WC,SH,STD,ST,NHX,600,725,336,15,fullsides,wall,No,No,No,4.68,ANY,13.148,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-1SG-RHS-XXX-600-725-336-15,WC-SH-NHX-ST-1SG-RHS-XXX-600-725-336-15,WC,Wall,WST,Wall Stone Shutter,Single door (handed),—,RHS,WC,SH,STD,ST,NHX,600,725,336,15,fullsides,wall,No,No,No,4.68,ANY,13.148,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-3SG-2HS-XXX-850-1085-336-15,WC-SH-NHX-ST-3SG-2HS-XXX-850-1085-336-15,WC,Wall,WST,Wall Stone Shutter,Double door,—,—,WC,SH,STD,ST,NHX,850,1085,336,15,fullsides,wall,No,No,No,9.93,ANY,22.425,3,2,1S 3H,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-1SG-2HS-XXX-850-725-336-15,WC-SH-NHX-ST-1SG-2HS-XXX-850-725-336-15,WC,Wall,WST,Wall Stone Shutter,Double door,—,—,WC,SH,STD,ST,NHX,850,725,336,15,fullsides,wall,No,No,No,6.63,ANY,16.775,3,2,1S 3H,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-3SG-2HS-XXX-900-1085-336-15,WC-SH-NHX-ST-3SG-2HS-XXX-900-1085-336-15,WC,Wall,WST,Wall Stone Shutter,Double door,—,—,WC,SH,STD,ST,NHX,900,1085,336,15,fullsides,wall,No,No,No,10.51,ANY,23.344,3,2,1S 3H,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-SH-STD-ST-1SG-2HS-XXX-900-725-336-15,WC-SH-NHX-ST-1SG-2HS-XXX-900-725-336-15,WC,Wall,WST,Wall Stone Shutter,Double door,—,—,WC,SH,STD,ST,NHX,900,725,336,15,fullsides,wall,No,No,No,7.02,ANY,17.501,3,2,1S 3H,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-OP-STD-ST-3SG-XXX-XXX-300-1085-336-15,WC-OP-NHX-ST-3SG-XXX-XXX-300-1085-336-15,WC,Wall,WOP,Wall Open Shelf,Open (no door),—,—,WC,OP,STD,ST,NHX,300,1085,336,15,fullsides,wall,No,No,No,3.50,ANY,12.313,3,0,3S JD,No,No,No,No,No,No,No,No,No,No,No,No
,WC-OP-STD-ST-1SG-XXX-XXX-300-725-336-15,WC-OP-NHX-ST-1SG-XXX-XXX-300-725-336-15,WC,Wall,WOP,Wall Open Shelf,Open (no door),—,—,WC,OP,STD,ST,NHX,300,725,336,15,fullsides,wall,No,No,No,2.34,ANY,8.795,3,0,3S JD,No,No,No,No,No,No,No,No,No,No,No,No
,WC-AC-STD-ST-2SG-LHS-DSH-600-1085-336-15,WC-AC-NHX-ST-2SG-LHS-DSH-600-1085-336-15,WC,Wall,WDR,Wall Dish Rack,Single door (handed),—,LHS,WC,AC,STD,ST,NHX,600,1085,336,15,fullsides,wall,No,No,No,7.01,ANY,15.913,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,WC-AC-STD-ST-2SG-RHS-DSH-600-1085-336-15,WC-AC-NHX-ST-2SG-RHS-DSH-600-1085-336-15,WC,Wall,WDR,Wall Dish Rack,Single door (handed),—,RHS,WC,AC,STD,ST,NHX,600,1085,336,15,fullsides,wall,No,No,No,7.01,ANY,15.913,3,1,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
