Serial no.,Cabinet type,Cabinet Code,Width ,Height,Depth,Sqft,"No of 
drawers","No of 
shelves",Accessories,"Cabinet 
Price
(in rs)","Shelf & drawer 
price
(in rs)","Accessories
Price
(in $) ","Modern Shutter 
Price
(in $) old prices","Modern Shutter 
Price
(in $) New prices","Classic Shutter 
Price
(in $) old prices","Classic Shutter 
Price
(in $) New prices","AVERAGE RATE 
PER SQ FEET
(in $)",Remark,,,,,,,,,,,,,,,,,,,,
27.0,Base Cabinet,Sink 2 Shutters Unit,1050.0,820.0,560.0,9.267690956,0.0,0.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
28.0,Base Cabinet,Blind Unit LH/RH,1050.0,820.0,560.0,9.267690956,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
29.0,Base Cabinet,Blind Unit LH/RH (Low depth),1050.0,820.0,336.0,9.267690956,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
30.0,Base Cabinet, lehman's Blind Unit LH/RH,1050.0,820.0,560.0,9.267690956,0.0,0.0,Lehman's Corner,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Lehman's corner,,,,,,,,,,,,,,,,,,,,
31.0,Base Cabinet,Blind Unit LH/RH,1150.0,820.0,560.0,10.15032819,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
32.0,Base Cabinet,Blind Unit (Low depth),1150.0,820.0,336.0,10.15032819,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
33.0,Base Cabinet,Sink 2 Shutter Unit,1200.0,820.0,560.0,10.59164681,0.0,0.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
34.0,Base Cabinet,3 Sides Glass Unit- 2 Shutters,940.0,820.0,336.0,8.296789999,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
35.0,Base Cabinet,3 Sides Glass Unit- 2 Shutters,1170.0,820.0,336.0,10.32685564,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
36.0,Wall Cabinet,Open Unit,300.0,1085.0,336.0,3.503639264,0.0,3.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
37.0,Wall Cabinet,Shutter Unit LH/RH,450.0,1085.0,336.0,5.255458896,0.0,3.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
38.0,Wall Cabinet,Shutter Unit LH/RH,550.0,1085.0,336.0,6.423338651,0.0,3.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
39.0,Wall Cabinet,Shutter Unit LH/RH,600.0,1085.0,336.0,7.007278528,0.0,3.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
40.0,Wall Cabinet,Shutter Unit LH/RH,600.0,1085.0,336.0,7.007278528,0.0,1.0,"600mm (24"") Dishrack",#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Dish rack 600mm,,,,,,,,,,,,,,,,,,,,
41.0,Wall Cabinet,2 Shutter Unit,850.0,1085.0,336.0,9.926977915,0.0,3.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
42.0,Wall Cabinet,2 Shutter Unit,900.0,1085.0,336.0,10.51091779,0.0,3.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
43.0,Wall Cabinet,2 Shutter Unit,900.0,1085.0,336.0,10.51091779,0.0,2.0,"900mm (35"") Dishrack",#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Dish rack 900mm,,,,,,,,,,,,,,,,,,,,
44.0,Wall Cabinet,Blind Unit LH/RH,900.0,1085.0,336.0,10.51091779,0.0,3.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
45.0,Wall Cabinet,Open Unit,300.0,725.0,336.0,2.341141444,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
46.0,Wall Cabinet,Shutter Unit LH/RH,450.0,725.0,336.0,3.511712166,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
47.0,Wall Cabinet,Shutter Unit LH/RH,550.0,725.0,336.0,4.292092647,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
48.0,Wall Cabinet,Shutter Unit LH/RH,600.0,725.0,336.0,4.682282887,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
49.0,Wall Cabinet,Shutter Unit LH/RH,600.0,725.0,336.0,4.682282887,0.0,0.0,"600mm (24"") Dishrack",#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Dish rack 600mm,,,,,,,,,,,,,,,,,,,,
50.0,Wall Cabinet,2 Shutter Unit,850.0,725.0,336.0,6.63323409,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
51.0,Wall Cabinet,2 Shutter Unit,900.0,725.0,336.0,7.023424331,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
52.0,Wall Cabinet,2 Shutter Unit,900.0,725.0,336.0,7.023424331,0.0,0.0,"900mm (35"") Dishrack",#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Dish rack 900mm,,,,,,,,,,,,,,,,,,,,
53.0,Wall Cabinet,Blind Unit LH/RH,900.0,725.0,336.0,7.023424331,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
54.0,Mid ht. Cabinet,Mid ht. Unit,600.0,1290.0,336.0,8.331234379,0.0,3.0,Rolling Shutter,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
55.0,Mid ht. Cabinet,Mid ht. Unit,600.0,1650.0,336.0,10.65623002,0.0,4.0,Rolling Shutter,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
56.0,Tall Cabinet,Shutter Unit LH/RH,450.0,2500.0,560.0,12.10935229,0.0,6.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
57.0,Tall Cabinet,Shutter Unit LH/RH (Low depth),450.0,2500.0,336.0,12.10935229,0.0,6.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
58.0,Tall Cabinet,Shutter Unit LH/RH,600.0,2500.0,560.0,16.14580306,0.0,6.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
59.0,Tall Cabinet,Shutter Unit LH/RH (Low depth),600.0,2500.0,336.0,16.14580306,0.0,6.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
60.0,Tall Cabinet,Appliances Unit: Shutter +Drawer,600.0,2500.0,560.0,16.14580306,1.0,3.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Space for Microwave & Oven,,,,,,,,,,,,,,,,,,,,
61.0,Tall Cabinet,Appliances Unit: Shutter +Drawer,600.0,2500.0,560.0,16.14580306,2.0,3.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Space for Oven/ Microwave with Waming drawer 140mm/ Coffee Machine,,,,,,,,,,,,,,,,,,,,
62.0,Tall Cabinet,Appliances Unit: Shutter LH/RH,600.0,2500.0,560.0,16.14580306,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Space for Refrigerator,,,,,,,,,,,,,,,,,,,,
7020.0,Tall Cabinet,Tandem_Shutter Unit LH/RH,600.0,2500.0,560.0,16.14580306,0.0,1.0,"600mm (24"") Tandem Pantry",#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Tandem Pantry,,,,,,,,,,,,,,,,,,,,
64.0,Tall Cabinet,4 Drawer set_Shutter Unit LH/RH,600.0,2500.0,560.0,16.14580306,4.0,2.0,3 Low back Drawer + 2 high back Drawer,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,5 drawer unit,,,,,,,,,,,,,,,,,,,,
65.0,Tall Cabinet,4 Pullout set_Shutter Unit LH/RH,600.0,2500.0,560.0,16.14580306,4.0,2.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Pullout shelves,,,,,,,,,,,,,,,,,,,,
66.0,Tall Cabinet,2 Shutter Unit,900.0,2500.0,560.0,24.21870459,0.0,6.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
67.0,Tall Cabinet,Blind Unit LH/RH,1050.0,2500.0,560.0,28.25515535,0.0,6.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
68.0,Tall Cabinet,Shutter Unit LH/RH,450.0,2140.0,560.0,10.36560556,0.0,5.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
69.0,Tall Cabinet,Shutter Unit LH/RH (Low depth),450.0,2140.0,336.0,10.36560556,0.0,5.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
70.0,Tall Cabinet,Shutter Unit LH/RH,600.0,2140.0,560.0,13.82080742,0.0,5.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
71.0,Tall Cabinet,Shutter Unit LH/RH (Low depth),600.0,2140.0,336.0,13.82080742,0.0,5.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
72.0,Tall Cabinet,Appliances Unit: Shutter,600.0,2140.0,560.0,13.82080742,1.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Space for Microwave & Oven,,,,,,,,,,,,,,,,,,,,
73.0,Tall Cabinet,Appliances Unit: Shutter,600.0,2140.0,560.0,13.82080742,2.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Space for Oven/ Microwave with Waming drawer 140mm/ Coffee Machine,,,,,,,,,,,,,,,,,,,,
74.0,Tall Cabinet,Appliances Unit: Shutter LH/RH,600.0,2140.0,560.0,13.82080742,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Space for Refrigerator,,,,,,,,,,,,,,,,,,,,
75.0,Tall Cabinet,Tandem_Shutter Unit LH/RH,600.0,2140.0,560.0,13.82080742,0.0,0.0,"600mm (24"") Tandem Pantry",#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Tandem Pantry,,,,,,,,,,,,,,,,,,,,
76.0,Tall Cabinet,4 Drawer set_Shutter Unit LH/RH,600.0,2140.0,560.0,13.82080742,4.0,1.0,3 Low back Drawer + 2 high back Drawer,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,5 drawer unit,,,,,,,,,,,,,,,,,,,,
77.0,Tall Cabinet,4 Pullout set_Shutter Unit LH/RH,600.0,2140.0,560.0,13.82080742,4.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Pullout shelves,,,,,,,,,,,,,,,,,,,,
78.0,Tall Cabinet,2 Shutter Unit,900.0,2140.0,560.0,20.73121113,0.0,5.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
79.0,Tall Cabinet,Blind Unit LH/RH,1050.0,2140.0,560.0,24.18641298,0.0,5.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
80.0,Loft Cabinet,2 Shutter Unit,1050.0,600.0,560.0,6.781237285,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Only above Refrigerator,,,,,,,,,,,,,,,,,,,,
81.0,Loft Cabinet,Shutter Unit LH/RH,450.0,600.0,336.0,2.906244551,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
82.0,Loft Cabinet,Shutter Unit LH/RH,450.0,600.0,560.0,2.906244551,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Only above Tall Units,,,,,,,,,,,,,,,,,,,,
83.0,Loft Cabinet,Shutter Unit LH/RH,550.0,600.0,336.0,3.552076673,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
84.0,Loft Cabinet,Shutter Unit LH/RH,600.0,600.0,336.0,3.874992734,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
85.0,Loft Cabinet,Shutter Unit LH/RH,600.0,600.0,560.0,3.874992734,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Only above Tall Units,,,,,,,,,,,,,,,,,,,,
86.0,Loft Cabinet,Blind Unit LH/RH,1050.0,600.0,336.0,6.781237285,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
87.0,Loft Cabinet,Blind Unit LH/RH,1050.0,600.0,560.0,6.781237285,0.0,1.0,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Only above Tall Units,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,785.5223813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
